"url","handle","handle_md5","banner_img","profile_image","name","subscribers","Description","videos_count","created_date","views","Details","Links","identifier","discovery_input","id","timestamp","input","error","error_code","warning","warning_code"
"https://www.youtube.com/@JustJoshTech/about","@JustJoshTech","99c123e55ee8b47dec261b9f9a186f81","https://yt3.googleusercontent.com/f1ICCAl6FEPUeyNrv-dnCD8FSKFepILuBO3GGExs7IGXtY_HhfXfriEKXCRy_eiAwzN2WU9d=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/CvfPo0rqVUpJ_BKrmZ_kTFkCgIQgrZfQSvnqUIz4xLjIl8nz5MrGuAqfHh4PJki6z_vK8zDK_g=s160-c-k-c0x00ffffff-no-rj","Just Josh",297000,"Finding You the Best Laptop",304,"2019-05-02T00:00:00.000Z",45873781,"{""location"":""United States""}","[""justjosh.tech"",""instagram.com/justjosh.life"",""twitter.com/JustJoshLife"",""discord.gg/MHrS4wG"",""youtube.com/@JustJoshBusiness""]","UCtHm9ai5zSb-yfRnnUBopAg","{""keyword"":""recomended laptop""}","UCtHm9ai5zSb-yfRnnUBopAg","2025-02-23T04:33:51.553Z","{""url"":""https://www.youtube.com/@JustJoshTech/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@thebestlaptops8592/about","@thebestlaptops8592","4372ab6d83e61a3c8b7172fdd27e2818",,"https://yt3.googleusercontent.com/ytc/AIdro_n8Ojg-7bKo0ll_8W2kVt5Kn9Sguhpd5aWyyXmTBfvS8Q=s160-c-k-c0x00ffffff-no-rj","the best laptops",125,,244,"2016-01-01T00:00:00.000Z",197948,,,"UCmuJ1PsUoo9RDEAo_mr21rg","{""keyword"":""recomended laptop""}","UCmuJ1PsUoo9RDEAo_mr21rg","2025-02-23T04:33:53.218Z","{""url"":""https://www.youtube.com/@thebestlaptops8592/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@thebestlaptop01/about","@thebestlaptop01","4f4380a5fbac59dcc240740492002c9e","https://yt3.googleusercontent.com/L9EQzhIecXPqjSt000Aag8bbKs_UhOfrqfYgJ-8Pfhtf6U2DnhEJHnXeJwHOxK_p1tRE4EMS2Q=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/Kb4Ev51r_nXCUagGj4SSEh0FjWX5YFMj5aCOLfxx1qTYPOw3GQvLxIsOZC2g7eh9saoavH1zMw=s160-c-k-c0x00ffffff-no-rj","The Best Laptop",2730," Hii….Friends 
WELCOM TO MY CHANNEL 🥰😇
                                  MY NAME is (Md MUZAMMIL.Z) 
🇮🇳”Refurbished imported laptops seller brand new condition Laptops “🇮🇳. Cash on Delivery all over India
For business information
we deal in new and used imported LAPTOPS and in their All accessories. We will update our stock on daily basis
All types of laptop computer review in this channel
My contact📞 9608377720
Please🙏 subscribe  🔔or शेयर kare Thank you🌹
                    ( PLEASE 🙏🏻 )
                   LIKE || SHARE || SUBSCRIBE.                         




For Business Enquiry
muzammillaptops01@gmail.com ",304,"2023-05-28T00:00:00.000Z",279210,"{""location"":""India""}","[""instagram.com/the_best_laptop?igsh=dGRheDVsejI4NTli&utm_source=qr"",""facebook.com/share/19WwzLRQ8z/?mibextid=LQQJ4d"",""maps.app.goo.gl/78bKLkcgdbav1iic9?g_st=com.google.maps.preview.copy""]","UCYky7DEYXA39mVivaVqH1Bw","{""keyword"":""recomended laptop""}","UCYky7DEYXA39mVivaVqH1Bw","2025-02-23T04:33:53.323Z","{""url"":""https://www.youtube.com/@thebestlaptop01/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@The-Best-Laptop/about","@The-Best-Laptop","434fad414336a2792ed1e49573a1a861","https://yt3.googleusercontent.com/x9GFUW3zM_nkt8IxrCtIQ7ZXMQl7ygen01ogTMYBzXQ2AZlnqVTnnsv0S-gG7-5MQfGRCHui2g=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/XQXDDijKH5mpD6VVCf9VIA-2aqdC8NwnHSC09u0OtkOvMyUMsiHPuYdvp5pRJhjuuQxheAOzJzU=s160-c-k-c0x00ffffff-no-rj","The-Best-Laptop ",185,"Welcome to official YouTube channel (THE BEST LAPTOP), guys like and subscribe. Thank you
",27,"2019-12-10T00:00:00.000Z",7974,,,"UCIycVttAy37rpgM4kN7y0aw","{""keyword"":""recomended laptop""}","UCIycVttAy37rpgM4kN7y0aw","2025-02-23T04:33:53.412Z","{""url"":""https://www.youtube.com/@The-Best-Laptop/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@JarrodsTech/about","@JarrodsTech","25e5028101b5c8fe1bce2a1a7e2ed3b6","https://yt3.googleusercontent.com/uftvrXwJUR6jnezJu_tC0jL36NgHAFTKLsLLQRUJyVkHbdSxVZ1Pxhahjt23unP2Q40UB5KUPw=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/TzRzdpfOxRMnJOtfLyghMgcQIiwxXtrvhB6soBqWMl7O_Oqc9NIDUpKUGMYk79zem7sqP5bTZg=s160-c-k-c0x00ffffff-no-rj","Jarrod'sTech",746000,"I make gaming laptop reviews & comparisons to help you pick the right tech!

I aim to go the extra mile with detailed testing and accurate benchmarks, so if that sounds like the type of content you're interested in then join our community!

I also run the gaminglaptop.deals website to help you find the best price on your next gaming laptop!
",1246,"2015-04-04T00:00:00.000Z",237671517,"{""location"":""Australia""}","[""gaminglaptop.deals"",""twitter.com/JarrodsTech"",""jarrods.tech"",""patreon.com/jarrodstech""]","UC2Rzju32yQPkQ7oIhmeuLwg","{""keyword"":""recomended laptop""}","UC2Rzju32yQPkQ7oIhmeuLwg","2025-02-23T04:33:54.492Z","{""url"":""https://www.youtube.com/@JarrodsTech/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@laptopsadvocate/about","@laptopsadvocate","7cdac7ef526c15ff44b4b2e1da3ad50d","https://yt3.googleusercontent.com/EUNLy5hpcs2epu2HmgiBgubBX8UF57r1GmgXhuSylMjiPfuY0wEZqy7KJ7dOLhR8Sh11gZU865M=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/wxRdEHsmDPKZZdY8HJOTHigSnyDXxLn1HbxGBoPMqQIVYtJqTS9r8oQUlzT7jQyUe8iH6KBTKw=s160-c-k-c0x00ffffff-no-rj","Laptop's Advocate",1650,"Welcome
I am Shoiab Siddiqui
Check out latest review videos of laptops and many other products related to IT, you will also find details about the technical aspects of the products also i will try my best to answer all the queries.


",78,"2020-09-13T00:00:00.000Z",606915,"{""location"":""India""}","[""youtube.com/@laptopsadvocate"",""twitter.com/AdvocateLaptop"",""instagram.com/laptopadvocate""]","UCpmkC_HBNWeTlVILE_-L-ZQ","{""keyword"":""recomended laptop""}","UCpmkC_HBNWeTlVILE_-L-ZQ","2025-02-23T04:33:57.584Z","{""url"":""https://www.youtube.com/@laptopsadvocate/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@bestlaptopbuyersguide5884/about","@bestlaptopbuyersguide5884","282aca1d9f4028c2df3608755cffdfd9","https://yt3.googleusercontent.com/qFuDPmEFftEfQuyJTPz4-WwLX36gt-l072urH2w3RY3PXbhzXBUS7biXsDIBdlD4xPmEeqduUOA=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_lM5koHUmB5MfSofFEcJD0PE5-c0Y3tiz319cPBSTwYvA=s160-c-k-c0x00ffffff-no-rj","Best Laptop Buyer's Guide",,"Best Top Rated laptop Buyer's Guide And Get Full 
Details of all laptops. Laptops Buyer  Guide and Reviews. 
All about Laptops!",1,"2020-02-11T00:00:00.000Z",4,"{""location"":""United States""}",,"UCkq4CNPakg1k545osbt3FNQ","{""keyword"":""recomended laptop""}","UCkq4CNPakg1k545osbt3FNQ","2025-02-23T04:33:57.520Z","{""url"":""https://www.youtube.com/@bestlaptopbuyersguide5884/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@BestLaptopGuides/about","@BestLaptopGuides","396d90f1770f8e074902d5d597538309","https://yt3.googleusercontent.com/HjT75pNDA5MYzK_2-llcBZy-KKbcpIhULUvwd7hjub8ijIutEEaf7nQtjlGTjFXkW0zeusPa2w=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_m1wE-JOwXK_SD9eARQ6eVCkP1MULoPrETpLKVNRSod1Q=s160-c-k-c0x00ffffff-no-rj","Best Laptop Guides",171,"Best Laptop Guides - We help you find the best laptop.",16,"2016-09-17T00:00:00.000Z",44692,"{""location"":""United Kingdom""}","[""bestlaptopguides.com"",""bestlaptopguides.com/best-laptops-under-200-pounds"",""bestlaptopguides.com/the-best-laptops-under-300-pounds"",""bestlaptopguides.com/buying-guide-best-laptops-under-400""]","UCZxFpRnpxK9yitADuLbhnAg","{""keyword"":""recomended laptop""}","UCZxFpRnpxK9yitADuLbhnAg","2025-02-23T04:33:58.235Z","{""url"":""https://www.youtube.com/@BestLaptopGuides/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@top10bestlaptopsintheworld12/about","@top10bestlaptopsintheworld12","d017449c0d79301f0b8ab9695987783b","https://yt3.googleusercontent.com/WABnPdbRyEESejSpPz3IcUT27wGbuTCDfZaMuIzi-BdZSOALgVI3E2aKreAC7BVRSbFG3YeX=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/ytc/AIdro_nZmQ5TdRCXHrcjoKlCaOUliW5MQ7T2IbJ8q9tl4NUzkA=s160-c-k-c0x00ffffff-no-rj","Top 10 best Laptops in the world",18,,10,"2016-01-11T00:00:00.000Z",16441,,,"UCRK37VQ05pg1jvJPRk7ag1w","{""keyword"":""recomended laptop""}","UCRK37VQ05pg1jvJPRk7ag1w","2025-02-23T04:33:58.256Z","{""url"":""https://www.youtube.com/@top10bestlaptopsintheworld12/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
"https://www.youtube.com/@bestlaptopsolutions/about","@bestlaptopsolutions","689d956e97cc4a071d4fff7d076b6918","https://yt3.googleusercontent.com/gQZbniAcZ7zElGKKC0PWQi7X7K7EOsdXSr0rtpcN9bOg08bhaAOEStyVplM4FPvwZC-fz2W7=w2560-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj","https://yt3.googleusercontent.com/-brzEdymrVhPecqTrF3mTV28NDVqP4wanvocssn1VD2kpkq16-ts9pILqwNtSK0kgHQVd8IaHw=s160-c-k-c0x00ffffff-no-rj","Best Laptop Solutions",7100,"Best Laptop Shops in Nehru Place Computer Market, Delhi 

Best Laptop Solutions Se Laptop Khareede Kabhi Dhokha Nhi Kha sakte
Dell HP Apple macbook Air apple macbook Pro Second hand laptop renewed Nehru place cheapest price gaming pc build Nehru place New Delhi Call Me 📞9990454145, 9990454245",512,"2023-01-13T00:00:00.000Z",1087601,"{""location"":""India""}","[""instagram.com/bestlaptopsolutions"",""linkedin.com/in/best-laptop-solution-091997280""]","UCYbyOuKQKjGAZtb3eRZpUxg","{""keyword"":""recomended laptop""}","UCYbyOuKQKjGAZtb3eRZpUxg","2025-02-23T04:33:58.547Z","{""url"":""https://www.youtube.com/@bestlaptopsolutions/about"",""discovery_input"":{""keyword"":""recomended laptop""}}",,,,
